idx,lat,lon,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
4709,-8.055506,-34.951693,1.3370921752787246,0.8262269245976577,0.6844965251925298,178.54976215320352,-0.9996796829749908,0.02530872274575909,-0.025316832158118637,-110.49816476535023,-0.3501773786385972,-0.9366834062210136,2.67488268334924,91.72257891352236,-0.03006014470514459,0.999548091739615,-33.251606123125185,6,4,3,2,3,1
1169,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
5828,-8.055784,-34.951608,1.3680921299844393,0.828837721450734,0.6954524028101466,178.19008370960861,-0.9995011090759194,0.031583745123197136,-0.031599509831857636,-112.71633960415166,-0.3861691159400715,-0.9224279993007928,2.3886633115527083,94.23207238438893,-0.07379645105915378,0.9972733245259666,-13.513838541186376,6,4,3,2,3,1
6133,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
1711,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
6608,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
1178,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
2129,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
2532,-8.055684,-34.951331,1.3583531935585065,0.7964036959850572,0.7252080684364172,176.8879783448494,-0.9985253016674293,0.05428832222466895,-0.05436849936001955,-112.83063991794413,-0.3880085134259224,-0.9216557890606479,2.3753493987100582,93.18263798718758,-0.05551895063289872,0.9984576336132754,-17.98408691502937,6,3,3,3,3,0
397,-8.055605,-34.951728,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.7254765430933,-0.9997525984040652,0.02224279623428419,-0.022248300499334562,-111.11014705750569,-0.36016202813686105,-0.9328897649177758,2.590194668060008,92.65306825565304,-0.046288230853981385,0.9989281253846088,-21.580607142575367,6,4,3,2,3,1
1291,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
3661,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
3971,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
3458,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
1630,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
3096,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
4087,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
1289,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
3747,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
5636,-8.055784,-34.951608,1.3680921299844393,0.828837721450734,0.6954524028101466,178.19008370960861,-0.9995011090759194,0.031583745123197136,-0.031599509831857636,-112.71633960415166,-0.3861691159400715,-0.9224279993007928,2.3886633115527083,94.23207238438893,-0.07379645105915378,0.9972733245259666,-13.513838541186376,6,4,3,2,3,1
901,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
3748,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
571,-8.055605,-34.951728,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.7254765430933,-0.9997525984040652,0.02224279623428419,-0.022248300499334562,-111.11014705750569,-0.36016202813686105,-0.9328897649177758,2.590194668060008,92.65306825565304,-0.046288230853981385,0.9989281253846088,-21.580607142575367,6,4,3,2,3,1
6612,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
4545,-8.055506,-34.951693,1.3370921752787246,0.8262269245976577,0.6844965251925298,178.54976215320352,-0.9996796829749908,0.02530872274575909,-0.025316832158118637,-110.49816476535023,-0.3501773786385972,-0.9366834062210136,2.67488268334924,91.72257891352236,-0.03006014470514459,0.999548091739615,-33.251606123125185,6,4,3,2,3,1
5860,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
3366,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
2309,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
5704,-8.055784,-34.951608,1.3680921299844393,0.828837721450734,0.6954524028101466,178.19008370960861,-0.9995011090759194,0.031583745123197136,-0.031599509831857636,-112.71633960415166,-0.3861691159400715,-0.9224279993007928,2.3886633115527083,94.23207238438893,-0.07379645105915378,0.9972733245259666,-13.513838541186376,6,4,3,2,3,1
6310,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
5630,-8.055784,-34.951608,1.3680921299844393,0.828837721450734,0.6954524028101466,178.19008370960861,-0.9995011090759194,0.031583745123197136,-0.031599509831857636,-112.71633960415166,-0.3861691159400715,-0.9224279993007928,2.3886633115527083,94.23207238438893,-0.07379645105915378,0.9972733245259666,-13.513838541186376,6,4,3,2,3,1
6285,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
1874,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
4452,-8.055506,-34.951693,1.3370921752787246,0.8262269245976577,0.6844965251925298,178.54976215320352,-0.9996796829749908,0.02530872274575909,-0.025316832158118637,-110.49816476535023,-0.3501773786385972,-0.9366834062210136,2.67488268334924,91.72257891352236,-0.03006014470514459,0.999548091739615,-33.251606123125185,6,4,3,2,3,1
4704,-8.055506,-34.951693,1.3370921752787246,0.8262269245976577,0.6844965251925298,178.54976215320352,-0.9996796829749908,0.02530872274575909,-0.025316832158118637,-110.49816476535023,-0.3501773786385972,-0.9366834062210136,2.67488268334924,91.72257891352236,-0.03006014470514459,0.999548091739615,-33.251606123125185,6,4,3,2,3,1
2742,-8.055684,-34.951331,1.3583531935585065,0.7964036959850572,0.7252080684364172,176.8879783448494,-0.9985253016674293,0.05428832222466895,-0.05436849936001955,-112.83063991794413,-0.3880085134259224,-0.9216557890606479,2.3753493987100582,93.18263798718758,-0.05551895063289872,0.9984576336132754,-17.98408691502937,6,3,3,3,3,0
4335,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
3271,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
6516,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
6065,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
2167,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
3437,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
5826,-8.055784,-34.951608,1.3680921299844393,0.828837721450734,0.6954524028101466,178.19008370960861,-0.9995011090759194,0.031583745123197136,-0.031599509831857636,-112.71633960415166,-0.3861691159400715,-0.9224279993007928,2.3886633115527083,94.23207238438893,-0.07379645105915378,0.9972733245259666,-13.513838541186376,6,4,3,2,3,1
4470,-8.055506,-34.951693,1.3370921752787246,0.8262269245976577,0.6844965251925298,178.54976215320352,-0.9996796829749908,0.02530872274575909,-0.025316832158118637,-110.49816476535023,-0.3501773786385972,-0.9366834062210136,2.67488268334924,91.72257891352236,-0.03006014470514459,0.999548091739615,-33.251606123125185,6,4,3,2,3,1
3525,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
6432,-8.055786,-34.951505,1.3687187949958173,0.8184631275422288,0.706791557035275,177.7153399031842,-0.999205103860782,0.03986427496598445,-0.0398959881329216,-113.03753648305376,-0.3913340997434884,-0.9202486742060286,2.3515678158617743,94.18204872811705,-0.07292572613676297,0.9973373744462932,-13.676070534778265,6,3,3,3,3,0
3115,-8.055833999999999,-34.951361999999996,1.3747393922941131,0.8061106257558011,0.7229111788096169,177.06772036836844,-0.9986906953404124,0.05115559637501301,-0.051222662445629535,-113.82320841955294,-0.40391587985094507,-0.9147961313889762,2.264818436270836,94.51058908137622,-0.07864333900072022,0.9969028163421036,-12.676252420220536,6,3,3,3,3,0
3952,-8.055424,-34.951597,1.328337996415302,0.8131534855405441,0.6948645448950389,178.08356827020287,-0.99944066634065,0.03344180713654097,-0.033460522733165084,-110.16069994310527,-0.3446543910142681,-0.9387296473184301,2.723683991246664,90.94889370807701,-0.016560562402113888,0.999862864483388,-60.37614183656948,6,3,3,3,3,0
1937,-8.055494,-34.951316,1.3374636059038945,0.7869496111746128,0.7259985364660299,176.76838017736677,-0.9984098059259998,0.056372505983036315,-0.05646229198515557,-111.46714813367224,-0.3659676899797833,-0.930627557023142,2.5429227292566496,91.51935279836457,-0.026514601113782742,0.9996484261618066,-37.70180897204492,6,3,3,3,3,0
1321,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
1125,-8.05538,-34.951736,1.3230488393509978,0.8259181805637515,0.6794800408557794,178.7396851881369,-0.9997580836011882,0.021994869267162376,-0.022000191474257,-109.4774672540538,-0.3334361202390439,-0.9427726946194048,2.8274462105170888,90.55998822517168,-0.009773482699541305,0.9999522383773746,-102.3127854336208,6,4,3,2,3,1
2511,-8.055684,-34.951331,1.3583531935585065,0.7964036959850572,0.7252080684364172,176.8879783448494,-0.9985253016674293,0.05428832222466895,-0.05436849936001955,-112.83063991794413,-0.3880085134259224,-0.9216557890606479,2.3753493987100582,93.18263798718758,-0.05551895063289872,0.9984576336132754,-17.98408691502937,6,3,3,3,3,0
